e_s es_is nom sg
is es_is masc/fem gen sg
is es_is masc/fem gen sg
i_ es_is masc/fem dat sg
i_ es_is masc/fem dat sg
ea es_is masc acc sg
em es_is masc/fem acc sg
em es_is masc/fem acc sg
e es_is masc/fem abl sg
e_s es_is masc/fem nom/voc pl
e_s es_is masc/fem nom/voc pl
ium es_is masc/fem gen pl
um es_is masc/fem gen pl
ibus es_is masc/fem dat pl
ibus es_is masc/fem dat pl
e_s es_is masc/fem acc pl
e_s es_is masc/fem acc pl
i_s es_is masc/fem acc pl
ibus es_is masc/fem abl pl
ibus es_is masc/fem abl pl
